rollout_order,lexeme_id,lemma,pos,expected_article_id,rejected_article_ids,semantic_evidence
1,01cb83da-68fe-4320-a591-01b147b64b86,skap,noun,52502,52501,cupboard-cabinet
2,07b239dd-132f-49f6-9c28-6ebb030f20f0,gjelde,verb,19726,19727,apply-be-valid
3,0c5f670f-a9a4-4b8d-8db5-de33d534f1d0,jus,noun,28054,28055,juice
4,1021b5bd-c763-42d5-b2ee-c37db1a54344,bære,verb,8439,8440,carry
5,16b32aba-520f-4f00-bcad-a75da3a8f7e2,bråk,noun,7932,97067,noise-row
6,18237ded-6911-4cd3-a2d5-f3bbd0178679,elv,noun,12477,12478,river
7,1b897bfa-a24b-4034-a727-0bd74712de14,trene,verb,62116,62115,train-practise
8,1f744c0a-33b7-4b24-a0a2-04176a66d5e4,tape,verb,59896,60079,lose
9,215f961f-5c2c-4ee9-b530-c523f3ec4482,dyne,noun,11334,11335,duvet
10,2cfb7c0e-046c-450a-9358-5d80483152b1,legg,noun,34285,100240|34287,lower-leg-calf
11,30a3cb30-f805-47f3-88c4-57241ad72b8b,lån,noun,34686,34685,loan
12,317e7b95-3985-4922-8b8c-afe4b7061ef3,ost,noun,43443,43444,cheese
13,35997a35-75ee-4bec-9186-528c704b85ae,ting,noun,61047,61048,thing-object-matter
14,370728af-947a-4c0e-9464-9940469d6ec2,pass,noun,44340,44338|44339|44341|44342,passport
15,3a26d01e-3fec-4093-9469-5792fe1743cb,verk,noun,67841,67840,work-works
16,3bb3a0f9-5098-4e1c-aeac-a6786e967eb1,tre,verb,61961,62648,step-move-aside
17,4188741a-0857-46cd-a8d4-c53227856ed8,egg,noun,11756,11755,egg-food
18,434ee6a1-be00-4042-95e4-f37fa4b9b47f,plikt,noun,45258,45259,duty
19,443274a6-0348-4a57-a8f5-18f765036c5f,peis,noun,44517,43853|44518,fireplace
20,4b4f871a-2f1e-4183-9a23-2e5eb8a2ae20,far,noun,13845,13846,father
21,4dac94db-14fc-45e3-9894-8e556cdb722c,ski,noun,52693,52697,skis
22,4ecc6662-58d3-4684-be5d-154a6e9b48cb,knekke,verb,30482,30483,break-intransitively
23,51882e59-a996-4262-88b0-82986ffd9d6f,brenne,verb,7434,7433,burn-something
24,53d2516f-7db7-4882-bcac-9026925b11b9,rom,noun,48792,48791|98629,room-space
25,58649153-c4c6-4dde-93f1-8b658308f9c9,skjegg,noun,52972,52971,beard
26,5a6b2c76-7f84-40d7-9f12-44836dd762d9,stille,verb,57187,57186,place-calm
27,5f7cad73-e7a2-4fa9-b597-9e66a43f5988,gir,noun,19661,19659|19660,gear
28,61c4c675-6ca4-4667-8426-c5e5c3dc05d6,syn,noun,59034,136674,sight-vision
29,65fbe4db-57d9-4fa3-bae2-ea4a6ab35c11,filet,noun,14601,14602,meat-fish-fillet
30,699faf3c-82c9-48d6-bb27-aca9ffb81663,klare,verb,29921,29920,manage-succeed
31,69d25e48-e66d-420b-99ce-bc1e6d7d4a44,by,verb,8263,8264,invite-offer
32,6c2dc736-17e8-4963-982e-8e78707f5803,rev,noun,48433,48434|48435,fox
33,6c42849d-1610-4630-b167-d7501624e347,mygg,noun,39681,136473,mosquito
34,737fe29d-e2f7-47ec-a068-e9d4abbbbe0e,stand,noun,56653,56654|56655,condition-state
35,7a08e8c8-8acd-439c-9f8f-c1c318cf5341,brett,noun,7479,7478,tray-board
36,7f9e4139-8d28-4f40-955f-45bf7a17be3e,fryse,verb,18274,18275,freeze-be-cold
37,8064c576-5677-4919-a1e8-8093f93b5f82,yrke,noun,69622,69621,occupation
38,8e513bd3-7205-460e-a4d8-5ab6a7ba3fcb,bit,noun,6134,6133,piece-part
39,99d58ac0-794b-4aac-9e30-721795c2d6fd,gjerde,noun,19924,116244,fence
40,9b6a0bd8-0332-4fc9-b081-7ec201225627,bo,noun,6739,6738,estate-property
41,9cee5298-53c2-4fa6-bb8f-310560335c12,røre,noun,49384,49385,mixture-batter
42,a208102c-46dd-4baf-8628-6ebbeecf4ac1,gris,noun,20985,115943|20984,pig
43,ad347caf-7e81-4230-825f-8bd691a7b1d1,fylle,verb,18515,18516,fill
44,aeabf851-70b6-42c1-825f-dca47407cc56,lure,verb,36096,36097,deceive-wonder-sneak
45,b2477c5e-d69d-46d0-9bcc-50f6af780201,ringe,verb,48612,48613,ring-call
46,b59a71b6-ca24-42bf-bd55-b9f0aa539c14,skip,noun,52833,97604,ship
47,b7ad6f8e-8689-4514-b8ca-2493ef975079,skrelle,verb,53556,53555,peel
48,b82ca900-4aef-486e-a565-031b7a37146b,plan,noun,45117,45118,plan
49,b871baba-561e-4b16-8c96-5d25d12f80c0,gate,noun,19244,115397,street
50,bd88f762-f05e-4cff-aa61-0b130da760d6,late,verb,33970,33971,seem-pretend
51,c209e919-c46b-4ff3-bb13-ffabeec835c1,love,verb,35841,35840,promise
52,c8c83624-f4c2-4e7f-a654-cdd249af452e,senter,noun,50965,50964,centre
53,c996bf9d-0b0c-4288-9036-e5df8f31564e,øre,noun,42756,42754|42755,ear
54,d02f18e3-b21b-440c-ac9a-ab9ee04a00b9,kurv,noun,32889,32890,basket
55,d0cb2597-1493-42d7-93c5-658b70a70b1f,lønn,noun,34436,34437|34438,salary-wage
56,d1998183-257b-4e21-ab7f-8625e3a13872,kraft,noun,31865,113560,force-strength-legal-force
57,d2031328-f8a2-4457-92aa-6e90e403f1e0,larve,noun,33912,33913,larva
58,d4cda977-9af2-43ea-9cbc-06778c024ef3,rake,noun,47322,47321,rake-tool
59,d9babf3f-589a-4536-914b-fbfd310feba3,brems,noun,7420,117579|7418,brake
60,df3a82a0-624b-49a3-813e-ed273ab2bff4,hestehov,noun,23444,23443,coltsfoot-plant
61,dfed58ee-6e9b-4954-a214-f7d12c3e3a8a,røyke,verb,49426,136672,smoke-tobacco
62,e1bf337f-d6ef-46a7-b173-ab66c26d67b5,rot,noun,48919,48920,root
63,e30de985-ad15-4eec-b477-0b38fe2d043c,tyde,verb,63180,63179,interpret-decipher
64,e69e4dc0-22ed-4a85-99f7-7ed3b36793ee,brekke,verb,7407,7408,break-fracture
65,e6d91103-ddc9-4e48-b1dd-4cef3ffe8404,ris,noun,48650,48651|48652,rice
66,e70d56a2-9bdc-4047-9eff-f88b272fec2b,sekund,noun,50558,50557,second-time-unit
67,ec9da2b9-22d4-4292-81e3-05b26f4aa852,bok,noun,6790,106786,book
68,ecfc4724-fe62-401a-ac7b-c3809a68c2ba,gård,noun,19096,128322,farm-yard
69,f16477a7-b742-49a3-a54a-0a9198750352,hete,verb,23468,23467,be-called
70,f19ee351-b7eb-406a-bf0a-88dbc50b52ef,vare,noun,66635,66636,goods-product
71,f5be5a51-2bc9-4f12-aaab-92c7ceabe926,friste,verb,18106,17942|18107,tempt
72,f67c3245-fc57-49c6-8817-59b8185ffda8,ark,noun,2649,2647|2648,sheet-of-paper
73,ff4c7a13-2098-45b0-970e-83ac51467fd5,la,verb,33442,33479,let-allow-leave
74,d3fdd671-8fd2-43bf-b399-dd140ce0e704,være,verb,69211,69212,vaere-be
75,e77c1dd7-9c6e-4af8-b80c-4b673132dfa0,bli,verb,6390,6460,bli-become-stay-passive
